id,name,distance,denivele,altitude_max,altitude_min,title
121,GR222,129.0,1216,193,4,GR®222
122,GR223,619.0,3931,149,0,GR®223 Littoral de la Normandie
123,GR223_A,30.89,456,174,6,GR®223A
124,GR223_B,33.3,314,167,8,GR®223B
125,GR224,153.79,1687,211,0,GR®224
126,GR226,62.13,975,335,75,GR®226
127,GR235,210.91,1367,245,67,GR®235
128,GR300,378.0,5912,1119,186,GR®300 Chemin de Saint Michel
129,GR303,263.0,2584,500,172,GR®303 Terre des Bourbons
130,GR340,75.26,1674,50,2,GR®340
131,GR341,168.9,2396,243,3,GR®341
132,GR342,233.0,4610,1028,202,GR®342
133,GR360,465.0,3694,139,2,GR®360
134,GR364,495.0,4305,252,0,GR®364 Du Poitou à l'Océan
135,GR365,296.0,2784,326,22,GR®365
136,GR367,229.0,7908,1351,1,GR®367 Sentier Cathare
137,GR367_A,72.0,2587,1142,249,GR®367A
138,GR380,281.0,4092,381,3,GR®380
139,GR400,134.31,6416,1818,766,GR®400
140,GR406,164.41,4840,1296,424,GR®406
141,GR413,66.14,263,134,77,GR®413
142,GR420,234.03,7084,1573,139,GR®420
143,GR422,269.3,3520,463,113,GR®422
144,GR429,47.0,1008,875,64,GR®429
145,GR430,205.0,5420,1300,596,GR®430
146,GR440,194.0,4199,952,455,GR®440
147,GR441,114.0,2659,1416,549,GR®441
148,GR461,27.54,689,255,79,GR®461
149,GR465,133.0,4891,1820,210,GR®465
150,GR470,180.0,5753,1484,427,GR®470 Sources et Gorges de l'Allier
151,GR480,63.62,1692,564,129,GR®480
152,GR509,394.0,12071,1704,298,GR®509 Grande Traversée du Jura
153,GR510,235.24,13539,1478,175,GR®510
154,GR531,390.0,12734,1304,148,GR®531 Traversée du Massif des Vosges
155,GR532,510.0,14778,1325,156,GR®532 Crête des Vosges et hautes vallées vosgiennes
156,GR533,242.0,7867,1170,247,GR®533 Crêtes et lacs des Vosges
157,GR534,217.0,2887,732,136,GR®534 Sentier Stanislas-Kléber
158,GR559,91.0,2709,1111,256,GR®559
159,GR559_A,28.58,703,1073,668,GR®559A
160,GR620,46.87,1082,801,350,GR®620
161,GR636,73.0,1054,211,65,GR®636
162,GR646,116.0,1621,210,13,GR®646
163,GR651,55.32,1568,338,139,GR®651
164,GR652,342.0,8356,543,39,GR®652 Voie de Rocamadour
165,GR653,807.0,13688,1632,1,GR®653 Voie d'Arles - Via Tolosana
166,GR653_A,393.0,7410,796,0,GR®653A Via Aurelia
167,GR653_D,433.0,10502,1859,2,GR®653D Via Domitia
168,GR654,1570.0,17680,684,11,GR®654 Via Lemovicensis
169,GR654_EST,183.0,2767,199,25,GR®654 EST
170,GR655,1492.0,9274,261,2,GR®655 Via Turonensis
171,GR670,174.0,5393,1425,412,GR®670
172,GR700,244.0,4041,1235,5,GR®700 Voie Régordane - Chemin de St Gilles
173,GR703,235.0,3572,426,172,GR®703 Chemin historique de Jeanne d'Arc
174,GR714,158.0,2110,477,222,GR®714
175,GR736,303.0,9785,1452,142,GR®736 Vallée et Gorges du Tarn
176,GR738,124.0,10159,2551,279,GR®738
177,GR765,323.0,6479,1169,244,GR®765 Saint Jacques de Compostelle
178,GR765_EST,189.0,5014,1167,161,GR®765 EST Saint Jacques de Compostelle
179,GR782,48.0,321,520,145,GR®782
180,GR787,57.0,1385,639,20,GR®787
181,GR800,225.0,946,133,4,GR®800 Sentier de la Somme
182,GR861,166.0,2104,510,133,GR®861 Via Garona
183,GR965,409.0,14736,1579,209,GR®965 Sur les pas  des Huguenots
184,GR2013,346.0,6213,884,0,GR®2013
185,GRR1,52.0,4614,2494,699,GR®R1
186,GRR2,134.0,10122,2496,41,GR®R2
187,GRR3,37.0,3729,1964,320,GR®R3
188,GRP-larzac,105.0,2721,827,240,Tour du Larzac Méridional (Hérault-Gard)
189,GRP-luberon,170.0,6188,1057,94,"Tour du Luberon (Vaucluse, Alpes-de-Haute-Provence)"
190,GRP-prealpes,246.0,11808,1678,460,"Grande Traversée des Préalpes (Alpes-de-Haute-Provence, Hautes-Alpes)"
191,GRP-sevre-et-maine-vignoble,120.0,630,72,2,"Tour du vignoble de Sèvre et Maine ( Loire-Atlantique, Vendée)"
192,GRP-avallonnais,194.0,3194,461,126,"Tour de l'Avallonnais (Yonne, Nièvre)"
193,GRP-houat,14.0,64,26,3,Tour de l'île d'Houat (Morbihan)
194,GRP-st-guilhem,219.0,5436,1417,103,Chemin de Saint Guilhem
195,GRP-gabariers,64.0,2281,515,140,Tour des Gabariers (Corrèze)
